"id_name","NewCasesStudents","NewCasesTeachers","NewCasesStaff","Norm.New.Stud","share_inperson","share_hybrid","share_virtual","year","pupil_count_tot","per_federal_exp","per_state_local_exp","per_fed_state_local_exp","num_princ","num_teach","num_counselors","num_social","per_turn_all","per_turn_five_yrs","per_free_lunch","per_reduced_lunch","ELA_per_prof.18","math_per_prof.18","entity_name","student_teacher_ratio","district_name","report_school_year","Princ_Sal","Teacher_Sal"
90601020000,24,4,2,54.0540540540541,0.234864318,0.745832414,0.0193032638,2021,420,804,20479,21283,2,45,1,0,0,0,26,2,87,94,"CHAZY UFSD",9.33333333333333,"CHAZY UFSD","2020-21",111125.5,57135.95556
90901040000,16,3,6,18.2025028441411,0.2963687028,0.4329494682,0.2706818352,2021,764,1071,26321,27392,3,83,3,0,5,0,39,1,90,93,"NORTHERN ADIRONDACK CSD",9.20481927710843,"NORTHERN ADIRONDACK CSD","2020-21",108047,70732.34177
91101060000,38,6,9,18.4287099903007,0.0670125228571428,0.820391817142857,0.11259566,2021,1841,685,20669,21354,4,164,9,0,8,29,38,4,85,89,"PERU CSD",11.2256097560976,"PERU CSD","2020-21",105539.3333,66125.53049
91200010000,64,5,4,36.3843092666288,0.2074420825,0.591090133875,0.20146777725,2021,1778,938,21599,22537,6,182,8,0,10,14,40,2,79,84,"PLATTSBURGH CITY SD",9.76923076923077,"PLATTSBURGH CITY SD","2020-21",100195.6667,65435.88333
91402060000,67,12,9,44.0499671268902,0.286135976333333,0.407646162833333,0.30621785,2021,1482,1030,18692,19722,5,126,7,0,5,0,34,2,89,86,"SARANAC CSD",11.7619047619048,"SARANAC CSD","2020-21",101861.4286,68441.51587
9.9e+10,35,3,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLINTON-ESSEX-WARREN-WASHING BOCES","2020-21",95229.33333,59474.28767
100501040000,21,10,3,14.4528561596696,1,0,0,2021,1190,1289,23456,24746,3,120,4,3,10,0,32,0,78,82,"TACONIC HILLS CSD",9.91666666666667,"TACONIC HILLS CSD","2020-21",116841.75,73000.59664
100902040000,10,3,4,20.5761316872428,0.9691716875,0,0.0308283125,2021,519,1282,21443,22726,2,48,2,1,13,33,38,3,80,78,"GERMANTOWN CSD",10.8125,"GERMANTOWN CSD","2020-21",108112.5,75730.2766
101001040000,31,11,8,26.8863833477884,0.42588972,0.49580008,0.07831020125,2021,919,744,26058,26802,3,102,4,2,10,21,34,4,90,93,"CHATHAM CSD",9.00980392156863,"CHATHAM CSD","2020-21",103138.6667,66038.0495
101300010000,48,12,14,28.436018957346,0.45982444625,0.5033518225,0.03682373125,2021,1619,1714,23531,25245,3,168,3,5,3,6,70,0,83,72,"HUDSON CITY SD",9.63690476190476,"HUDSON CITY SD","2020-21",111097,79140.98795
101401040000,52,9,6,29.0016731734523,0.294636335555556,0.665069308888889,0.0402943566666667,2021,1620,573,22444,23017,4,170,7,0,7,26,31,3,90,95,"KINDERHOOK CSD",9.52941176470588,"KINDERHOOK CSD","2020-21",127208.6,76931.73006
101601040000,27,3,9,53.4653465346535,0,0.942914801428571,0.0570851942857143,2021,393,976,25840,26816,2,53,1,0,9,14,44,4,83,90,"NEW LEBANON CSD",7.41509433962264,"NEW LEBANON CSD","2020-21",91243,63496.67925
110101040000,21,1,3,34.1463414634146,1,0,0,2021,533,1543,23144,24687,2,61,2,2,9,25,46,6,80,86,"CINCINNATUS CSD",8.73770491803279,"CINCINNATUS CSD","2020-21",98239.5,57652.80328
110200010000,56,15,11,21.2362533181646,0.8575751375,0,0.14242486625,2021,1999,1743,17758,19501,7,196,6,6,14,12,62,0,77,83,"CORTLAND CITY SD",10.1989795918367,"CORTLAND CITY SD","2020-21",115675,60392.17989
110304040000,22,5,2,39.6396396396396,1,0,0,2021,534,899,18042,18941,2,53,3,0,9,25,45,0,76,78,"MCGRAW CSD",10.0754716981132,"MCGRAW CSD","2020-21",100372.5,59445.30189
